uf,tipo_doenca,local_obito,faixa_etaria,sexo,total
MA,PNEUMONIA,OUTRO,"< 9",M,1
MA,SEPTICEMIA,AMBULANCIA,"< 9",M,1
MA,SEPTICEMIA,DOMICILIO,"< 9",F,1
MA,SEPTICEMIA,DOMICILIO,"< 9",M,1
MA,SEPTICEMIA,HOSPITAL,"< 9",F,91
MA,SEPTICEMIA,HOSPITAL,"< 9",M,86
MA,SEPTICEMIA,OUTRO,"< 9",F,1
MA,SEPTICEMIA,OUTRO,"< 9",M,2
MA,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
MA,SEPTICEMIA,VIA_PUBLICA,"< 9",F,1
MA,SRAG,HOSPITAL,"< 9",F,7
MA,SRAG,HOSPITAL,"< 9",M,6
MA,SRAG,OUTRO,"< 9",F,1
MA,SRAG,OUTRO,"< 9",M,1
MG,OUTRAS,DOMICILIO,"< 9",F,43
MG,OUTRAS,DOMICILIO,"< 9",M,50
MG,OUTRAS,HOSPITAL,"< 9",F,790
MG,OUTRAS,HOSPITAL,"< 9",I,11
MG,OUTRAS,HOSPITAL,"< 9",M,945
MG,OUTRAS,IGNORADO,"< 9",F,12
MG,OUTRAS,IGNORADO,"< 9",M,21
MG,OUTRAS,OUTRO,"< 9",F,8
MG,OUTRAS,OUTRO,"< 9",M,18
MG,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,21
MG,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,41
MG,OUTRAS,VIA_PUBLICA,"< 9",F,3
MG,OUTRAS,VIA_PUBLICA,"< 9",M,9
MG,COVID,HOSPITAL,"< 9",F,31
MG,COVID,HOSPITAL,"< 9",M,33
MG,COVID,OUTRO,"< 9",F,1
MG,COVID,OUTROS_SERVICOS_SAUDE,"< 9",M,1
MG,INDETERMINADA,DOMICILIO,"< 9",F,1
MG,INDETERMINADA,DOMICILIO,"< 9",M,6
MG,INDETERMINADA,HOSPITAL,"< 9",F,16
MG,INDETERMINADA,HOSPITAL,"< 9",M,14
MG,INDETERMINADA,IGNORADO,"< 9",F,1
MG,INDETERMINADA,OUTRO,"< 9",F,1
MG,INDETERMINADA,OUTRO,"< 9",M,1
MG,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
MG,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"< 9",M,5
MG,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,2
MG,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,6
MG,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,138
MG,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,175
MG,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",F,2
MG,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",M,4
MG,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
MG,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,2
